type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_12_LSD,B,96,1,Jul,2,linear,0:00:37.408641,OPTIMAL,125240884028,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Jul,2,quadratic,0:00:38.360439,OPTIMAL,125245807885,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Sep,2,constant,0:00:57.815568,OPTIMAL,125265950155,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Sep,2,exponential,0:00:45.763325,OPTIMAL,125225659336,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Sep,2,linear,0:00:39.240386,OPTIMAL,125226097041,0
HEURISTIC_MEDIAN_12_LSD,B,96,1,Sep,2,quadratic,0:00:38.253881,OPTIMAL,125244795355,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Dec,2,constant,0:00:47.489493,OPTIMAL,125332367226,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Dec,2,exponential,0:00:47.759231,OPTIMAL,125261378948,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Dec,2,linear,0:00:45.792119,OPTIMAL,125299153096,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Dec,2,quadratic,0:00:47.450349,OPTIMAL,125295867048,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Jul,2,constant,0:00:40.808706,OPTIMAL,125290637959,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Jul,2,exponential,0:00:47.729676,OPTIMAL,125320399672,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Jul,2,linear,0:00:41.796608,OPTIMAL,125271422408,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Jul,2,quadratic,0:00:43.667654,OPTIMAL,125317953098,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Sep,2,constant,0:00:44.869937,OPTIMAL,125429467327,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Sep,2,exponential,0:00:42.674056,OPTIMAL,125307205676,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Sep,2,linear,0:00:48.873303,OPTIMAL,125293514333,0
HEURISTIC_MEDIAN_12_LSD,B,96,2,Sep,2,quadratic,0:00:43.764899,OPTIMAL,125346174621,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Dec,2,constant,0:00:48.605368,OPTIMAL,125112569450,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Dec,2,exponential,0:00:46.971880,OPTIMAL,125242770906,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Dec,2,linear,0:01:34.816323,OPTIMAL,125002127089,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Dec,2,quadratic,0:01:42.974288,OPTIMAL,125120095643,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Jul,2,constant,0:00:38.203972,OPTIMAL,125232495383,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Jul,2,exponential,0:00:47.345807,OPTIMAL,125140471462,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Jul,2,linear,0:00:40.208836,OPTIMAL,125234956629,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Jul,2,quadratic,0:00:45.737331,OPTIMAL,125239963271,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Sep,2,constant,0:00:39.697055,OPTIMAL,125233123130,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Sep,2,exponential,0:00:44.532810,OPTIMAL,125144920069,0
HEURISTIC_MEDIAN_12_LSD,B,96,3,Sep,2,linear,0:00:43.160721,OPTIMAL,125235397877,0
